id,category,language,question,answer
1,CATEGORY 1 — ACCOMMODATION,English,What types of rooms are available at this accommodation?,"We offer single, double, family, and deluxe rooms depending on your preference."
2,CATEGORY 1 — ACCOMMODATION,English,What documents do I need to check in?,A passport or national ID card is required for registration.
3,CATEGORY 1 — ACCOMMODATION,English,Does the room have hot water?,"Yes, hot water is available 24 hours a day."
4,CATEGORY 1 — ACCOMMODATION,English,Are electrical outlets suitable for charging mobile phones?,"Yes, you can charge your mobile devices using the standard outlets provided in the room."
5,CATEGORY 1 — ACCOMMODATION,English,Is food available at the accommodation?,"Yes, we provide breakfast, lunch, dinner, and a selection of local meals."
6,CATEGORY 1 — ACCOMMODATION,English,Is daily room cleaning included?,"Yes, housekeeping is provided every day to keep the room clean."
7,CATEGORY 1 — ACCOMMODATION,English,Do you have child-friendly rooms?,"Yes, we have family rooms equipped with child-safe facilities."
8,CATEGORY 1 — ACCOMMODATION,English,How far is the accommodation from the nearest town?,It is about 5 minutes to the local shops and 10 minutes to the main bus route.
9,CATEGORY 1 — ACCOMMODATION,English,Do you provide drinking water in the rooms?,"Yes, two complimentary bottles of drinking water are provided daily."
10,CATEGORY 1 — ACCOMMODATION,English,Is there an attached bathroom in the room?,"Yes, all rooms have a private bathroom with modern facilities."
11,CATEGORY 1 — ACCOMMODATION,English,What kind of view does the room offer?,"Depending on the room type, you may have views of the mountains, forest, or lake."
12,CATEGORY 1 — ACCOMMODATION,English,Is the accommodation quiet at night?,"Yes, the surrounding environment is peaceful and calm throughout the night."
13,CATEGORY 1 — ACCOMMODATION,English,Do the rooms have air conditioning?,"Yes, all rooms are equipped with air conditioning."
14,CATEGORY 1 — ACCOMMODATION,English,Is there backup electricity available?,"Yes, a standby power supply ensures uninterrupted electricity."
15,CATEGORY 1 — ACCOMMODATION,English,Do you offer traditional local meals?,"Yes, we have a menu with a variety of authentic local dishes."
16,CATEGORY 1 — ACCOMMODATION,English,What payment methods do you accept?,"We accept cash, bank transfers, and online payment options."
17,CATEGORY 1 — ACCOMMODATION,English,Are there wardrobes or storage facilities in the rooms?,"Yes, each room has a wardrobe and storage space for luggage."
18,CATEGORY 1 — ACCOMMODATION,English,Do you have a play area for children?,"Yes, a safe and supervised play area is available for children."
19,CATEGORY 1 — ACCOMMODATION,English,How do you welcome guests on arrival?,We warmly greet guests with a welcome drink and provide essential information about the stay.
20,CATEGORY 1 — ACCOMMODATION,English,What additional facilities are included in the rooms?,"A study table, chairs, and an information booklet about nearby attractions are provided."
21,CATEGORY 1 — ACCOMMODATION,English,How can guests reach the nearby market?,"The market can be reached easily by tuk-tuk, bus, or on foot."
22,CATEGORY 1 — ACCOMMODATION,English,Is night-time security available?,"Yes, security staff are present throughout the night."
23,CATEGORY 1 — ACCOMMODATION,English,Do the rooms have a telephone?,"Yes, local calling is available through the in-room phone."
24,CATEGORY 1 — ACCOMMODATION,English,How do you maintain cleanliness at the accommodation?,"We follow regular cleaning routines, change bedding frequently, and record sanitation checks."
25,CATEGORY 1 — ACCOMMODATION,English,Is there a safe for storing valuables?,"Yes, a secure safe is provided in each room."
26,CATEGORY 1 — ACCOMMODATION,English,Is the drinking water treated or purified?,"Yes, purified bottled water is provided for guests."
27,CATEGORY 1 — ACCOMMODATION,English,Can guests make tea or coffee in the room?,"Yes, a small set with a kettle, cups, and tea supplies is provided."
28,CATEGORY 1 — ACCOMMODATION,English,Do you provide medical assistance if a guest feels unwell?,"Yes, we offer basic first aid and can arrange transportation to a medical center."
29,CATEGORY 1 — ACCOMMODATION,English,Is there a table or workspace in the room?,"Yes, a small desk and chair are included for guests who wish to work."
30,CATEGORY 1 — ACCOMMODATION,English,How do you ensure a peaceful environment for guests?,"We maintain regular cleaning, manage noise levels, and monitor the surroundings."
31,CATEGORY 1 — ACCOMMODATION,English,What are the check-in and check-out times?,"Check-in is usually from 12:00 PM, and check-out is at 10:00 AM."
32,CATEGORY 1 — ACCOMMODATION,English,How much space is available for storing clothes?,Each room has a spacious wardrobe with shelves and hanging space.
33,CATEGORY 1 — ACCOMMODATION,English,Are restaurants or food stalls available nearby?,"Yes, there are several small eateries and fruit stalls close to the accommodation."
34,CATEGORY 1 — ACCOMMODATION,English,Are there any rules regarding smoking?,"Most rooms are non-smoking, but we provide a designated smoking area."
35,CATEGORY 1 — ACCOMMODATION,English,Can I change my room booking if needed?,"Yes, please inform us in advance, and we will assist with the changes."
36,CATEGORY 1 — ACCOMMODATION,English,Do you offer facilities for business travelers?,"Yes, we have a small meeting area and a quiet workspace."
37,CATEGORY 1 — ACCOMMODATION,English,Are there laundry facilities available?,"Yes, we provide washing, drying, and ironing services."
